customer_id,senior_citizen,tenure,monthly_charges,total_charges,complaint_count_90d,support_ticket_count_90d,network_downtime_minutes_30d,late_payment_count_6m,billing_dispute_count_6m,avg_data_usage_gb_30d,plan_change_count_12m,gender,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,region,customer_segment,last_interaction_sentiment
4376-KFVRS,0,72,114.05,8468.2,2,2,16.0,1,0,59.2,0,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),West,Premium,positive
2754-SDJRD,1,8,100.15,908.55,2,3,56.3,1,1,85.3,1,Female,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),South,Premium,negative
9917-KWRBE,0,41,78.35,3211.2,1,1,60.6,1,0,47.0,1,Female,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),Northeast,Growth,neutral
0365-GXEZS,0,18,78.2,1468.75,4,1,75.0,1,0,103.5,0,Male,Yes,No,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,Northeast,Growth,positive
9385-NXKDA,0,72,82.65,5919.35,1,1,61.1,2,1,44.4,0,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),West,Growth,positive
4686-UXDML,0,21,99.85,1992.55,0,4,45.6,3,1,72.9,1,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Northeast,Premium,positive
2227-JRSJX,0,21,99.15,1956.4,1,2,45.7,0,1,59.9,2,Female,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Northeast,Premium,neutral
4830-FAXFM,0,19,24.1,439.2,4,2,46.3,1,0,59.0,0,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),South,Value,positive
1830-IPXVJ,0,61,19.75,1311.6,1,1,38.4,0,0,24.2,1,Female,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),Northeast,Value,neutral
4690-LLKUA,1,17,45.05,770.6,2,1,15.4,3,1,26.5,2,Male,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Northeast,Growth,neutral
